"","Date","hour","MeterID","MonthRead","count","fd"
"519","2018-01-22",10,1030664,61,1440,6
"520","2018-01-22",11,1030664,42,1440,4
"521","2018-01-22",12,1030664,40,1440,4
"522","2018-01-23",1,1030664,54,1440,5
"523","2018-01-23",2,1030664,43,1440,4
"524","2018-01-23",3,1030664,32,1440,3
"525","2018-01-23",4,1030664,24,1440,2
"526","2018-01-23",5,1030664,4,1440,4
"527","2018-01-23",6,1030664,52,1440,5
"528","2018-01-23",7,1030664,26,1440,2
"529","2018-01-23",8,1030664,30,1440,3
"530","2018-01-23",9,1030664,51,1440,5
"531","2018-01-23",10,1030664,27,1440,2
"532","2018-01-23",11,1030664,37,1440,3
"533","2018-01-23",12,1030664,41,1440,4
"534","2018-01-24",1,1030664,54,1440,5
"535","2018-01-24",2,1030664,40,1440,4
"536","2018-01-24",3,1030664,54,1440,5
"537","2018-01-24",4,1030664,37,1440,3
"538","2018-01-24",5,1030664,10,1440,1
"539","2018-01-24",6,1030664,22,1440,2
"540","2018-01-24",7,1030664,63,1440,6
"541","2018-01-24",8,1030664,37,1440,3
"542","2018-01-24",9,1030664,56,1440,5
"543","2018-01-24",10,1030664,36,1440,3
"544","2018-01-24",11,1030664,47,1440,4
"545","2018-01-24",12,1030664,56,1440,5
"546","2018-01-25",6,1030664,5,720,5
"547","2018-01-25",7,1030664,34,720,3
"548","2018-01-25",8,1030664,45,720,4
"549","2018-01-25",9,1030664,45,720,4
"550","2018-01-25",10,1030664,45,467,4
